terms
,term,result
0,Intellectual Disability,"Below average intelligence and set of life skills present before age 18. Intellectual function can be measured with a test. The main symptom is difficulty thinking and understanding. Life skills that can be impacted include certain conceptual, social, and practical skills. Special education and behavioral therapy can help a person live to his or her fullest."
1,Anxiety,"Examples of anxiety disorders include panic attacks, obsessive-compulsive disorder, and post-traumatic stress disorder. Symptoms include stress that's out of proportion to the impact of the event, inability to set aside a worry, and restlessness. Treatment includes counseling or medications, including antidepressants. "
2,Stuttering,A speech disorder involving frequent problems with the normal fluency and flow of speech. 
3,Alcohol Use Disorder,"A chronic disease characterized by uncontrolled drinking and preoccupation with alcohol. Alcoholism is the inability to control drinking due to both a physical and emotional dependence on alcohol. Symptoms include a strong need or urge to use alcohol. Those with alcohol use disorder may have problems controlling their drinking, continue to use alcohol even when it causes problems, or have withdrawal symptoms when they rapidly decrease or stop drinking. Treatment involves counseling, such as behavioral therapy, and medications that reduce the desire to drink. Some people need medical detoxification to stop drinking safely. Mutual support groups help people stop drinking, manage relapses and cope with necessary lifestyle changes. "
4,Persistent Depressive Disorder,"A mild but long-term form of depression. Dysthymia is defined as a low mood occurring for at least two years, along with at least two other symptoms of depression. Examples of symptoms include lost interest in normal activities, hopelessness, low self-esteem, low appetite, low energy, sleep changes, and poor concentration. Treatments include medications and talk therapy. "
5,Alzheimer’s Disease,"A progressive disease that destroys memory and other important mental functions. Brain cell connections and the cells themselves degenerate and die, eventually destroying memory and other important mental functions. Memory loss and confusion are the main symptoms. No cure exists, but medications and management strategies may temporarily improve symptoms. "
6,Intellectual Developmental Disorder,"Below average intelligence and set of life skills present before age 18. Intellectual function can be measured with a test. The main symptom is difficulty thinking and understanding. Life skills that can be impacted include certain conceptual, social, and practical skills. Special education and behavioral therapy can help a person live to his or her fullest."
7,Opioid Intoxication,"Physical and mental symptoms that occur after taking too many opioids, a substance found in certain prescription pain medications and illegal drugs like heroin. An overdose can be life-threatening and requires immediate emergency care. People who take high doses of opioid painkillers, are middle-aged, have a history of substance abuse, or are taking other sedatives are at highest risk. Symptoms may include shallow breathing, confusion, lessened alertness, and loss of consciousness. Opioid overdose is a medical emergency and emergency services should be called immediately. Treatments include medications like naloxone that reverse the effects of opioids. A breathing machine can help if breathing is impaired. "
8,Social phobia,"A chronic mental health condition in which social interactions cause irrational anxiety. For people with social anxiety disorder, everyday social interactions cause irrational anxiety, fear, self-consciousness, and embarrassment. Symptoms may include excess fear of situations in which one may be judged, worry about embarrassment or humiliation, or concern about offending someone. Talk therapy and antidepressants can help increase confidence and improve ability to interact with others. "
9,Vascular Dementia,"Brain damage caused by multiple strokes. Vascular dementia causes memory loss in older adults, particularly in those at higher risk of stroke due to obesity or diabetes. In early stages, the condition causes cognitive difficulty with reasoning and judgment. In later stages, memory is affected. Controlling conditions that affect heart health can slow disease progression. Alzheimer's drugs may help control cognitive symptoms. "
10,Histrionic Personality Disorder,"A mental health condition that affects the way a person thinks, perceives, and relates to others. Genes play a role in the development of personality disorders. Abuse or instability during childhood also may increase risk. A person with histrionic personality disorder seeks attention, talks dramatically with strong opinions, is easily influenced, has rapidly changing emotions, and thinks relationships are closer than they are. Treatments typically include talk therapy. "
11,Avoidant Personality Disorder,"A disorder characterized by social discomfort and avoidance of interpersonal contact. Someone who has avoidant personality disorder avoids intimate and social contact with others. People with this condition may be extremely shy, fear ridicule, and be overly concerned with looking foolish. Talk therapy is the main treatment. Drugs, including antidepressants, may help some symptoms. "
12,Body Dysmorphic Disorder,"A mental illness involving obsessive focus on a perceived flaw in appearance. The flaw may be minor or imagined. But the person may spend hours a day trying to fix it. The person may try many cosmetic procedures or exercise to excess. People with this disorder may frequently examine their appearance in a mirror, constantly compare their appearance with that of others, and avoid social situations or photos. Treatment may include counseling and antidepressant medication. "
13,Trichotillomania,"A disorder that involves recurrent, irresistible urges to pull out body hair. The urges involve pulling out hair from the scalp, eyebrows, or other areas of the body. Symptoms include compulsive hair pulling and hair loss, such as bald patches on the scalp. Social and work functioning may be affected. Treatment options include counseling and medications, such as antidepressants. "
