,term,result
0,Disruptive Mood Dysregulation Disorder,
1,Social Communication Disorder,
2,Core Beliefs (CBT),
3,Alzheimer’s Disease,"Symptoms: Amnesia; Dementia Diseases or conditions caused: Dementia Alzheimer's disease Also called: senile dementia Source A progressive disease that destroys memory and other important mental functions. Brain cell connections and the cells themselves degenerate and die, eventually destroying memory and other important mental functions. Memory loss and confusion are the main symptoms. No cure exists, but medications and management strategies may temporarily improve symptoms. Very common More than 3 million US cases per year Treatment can help, but this condition can't be cured Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more RELATED CONDITIONS Dementia A group of thinking and social symptoms that interferes with daily functioning. Psychosis A mental disorder characterized by a disconnection from reality. Parkinson's disease A disorder of the central nervous system that affects movement, often including tremors. Clinical depression A mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life. Insomnia Persistent problems falling and staying asleep. "
4,Phonological Disorder,
5,Disinhibited Social Engagement Disorder,
6,Medication-Induced Anxiety Disorder,
7,Borderline Personality Disorder,"Borderline personality disorder Also called: BPD, emotional dysregulation disorder A mental disorder characterized by unstable moods, behavior, and relationships. The cause of borderline personality disorder isn't well understood. Diagnosis is made based on symptoms. Symptoms include emotional instability, feelings of worthlessness, insecurity, impulsivity, and impaired social relationships. Treatments include talk therapy or, in some cases, medications. Hospitalization helps if symptoms are severe. Very common More than 3 million US cases per year Treatable by a medical professional Chronic: can last for years or be lifelong Requires a medical diagnosis Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
8,Restless Legs Syndrome,"Symptoms: Urge to move Restless legs syndrome Also called: RLS Source A condition characterized by a nearly irresistible urge to move the legs, typically in the evenings. Restless legs syndrome typically occurs while sitting or lying down. It generally worsens with age and can disrupt sleep. The main symptom is a nearly irresistible urge to move the legs. Getting up and moving around helps the unpleasant feeling temporarily go away. Self-care steps, lifestyle changes, or medications may help. Very common More than 3 million US cases per year Treatment can help, but this condition can't be cured Chronic: can last for years or be lifelong Requires a medical diagnosis Lab tests or imaging rarely required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
9,Catatonia,"Catatonia A behavioral syndrome marked by an inability to move normally. It can be associated with schizophrenia and other mental illnesses. Catatonia may involve symptoms such as staying still, fast or strange movements, lack of speech, and other unusual behavior. Treatment includes tranquilizer medications like lorazepam (ativan) and diazepam (valium), or electric shock (electroconvulsive) therapy. Very rare Fewer than 20,000 US cases per year Treatable by a medical professional Requires a medical diagnosis Lab tests or imaging often required Short-term: resolves within days to weeks Critical: needs emergency care For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
10,Substance-Induced Psychotic Disorder, 
11,Personalization," Description
Personalization consists of tailoring a service or a product to accommodate specific individuals, sometimes tied to groups or segments of individuals. Wikipedia "
12,Blaming (CBT),
13,Sexual Masochism Disorder,
14,Bipolar II Disorder,"Bipolar II disorder A type of bipolar disorder characterized by depressive and hypomanic episodes. It involves at least one depressive episode lasting at least two weeks and at least one hypomanic episode lasting at least four days. Depressive symptoms include sadness or hopelessness. Hypomanic symptoms include a persistently elevated or irritable mood. Treatment includes counseling and medications, such as mood stabilizers. Common More than 200,000 US cases per year Treatment can help, but this condition can't be cured Requires a medical diagnosis Lab tests or imaging rarely required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
15,Voyeuristic Disorder,
16,Paranoid Personality Disorder,
